added_at,album_name,track_number,artists,name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,duration_ms,time_signature,playlist_name,playlist_description
2021-03-26T12:27:38Z,Baby Girl,1,"[['Dudu', '5Ynf8bbQV9ICbK3vZoPxGF'], ['Yunk Vino', '460m2YG30duLCuHwFdiLgX'], ['Felipe Artioli', '1CQPPiPRlXbiMvDBO67c6w']]",Baby Girl,50,0.655,0.44799999999999995,8,-8.669,0,0.152,0.4,0.0,0.114,0.262,133.889,audio_features,180609,4,Trap Classe,"O trap nacional pra qualquer hora, daquele jeitão."
2021-03-26T12:27:38Z,Quer Ir no Meu Show ?,1,"[['Hyperanhas', '7oNGVWHSEpvIGJpNDtgudz'], ['Bianca', '7Jb6GR4PIxHSkDJK8MWuVg']]",Quer Ir no Meu Show ?,47,0.773,0.529,3,-7.845,0,0.0747,0.34700000000000003,1.18e-06,0.138,0.775,112.012,audio_features,280947,4,Trap Classe,"O trap nacional pra qualquer hora, daquele jeitão."
2021-03-26T12:27:38Z,DMC By Costa Gold,1,"[['Chayco', '0titiXdcUTRXpX2CFeShdk'], ['Kant', '5RHWqLCNmcKFDME3G7sxiJ'], ['André Nine', '5cc7XCY3YdVmFDYw9LklMq'], ['NOX', '3F6j9XVtOIZaGCJAGNxOXO']]",Resenha,50,0.852,0.632,1,-5.871,1,0.358,0.0972,0.0,0.1,0.691,86.045,audio_features,287509,4,Trap Classe,"O trap nacional pra qualquer hora, daquele jeitão."
2021-03-26T12:27:38Z,Baby Hair,1,"[['Recayd Mob', '1QBWA6tuiZ0JuDluPqbe71']]",Baby Hair,46,0.8240000000000001,0.846,5,-4.81,0,0.0813,0.49200000000000005,8.39e-06,0.128,0.752,132.94799999999998,audio_features,221502,4,Trap Classe,"O trap nacional pra qualquer hora, daquele jeitão."
2021-03-26T12:27:38Z,Pecado Capital,8,"[['Xamã', '5YwzDz4RJfTiMHS4tdR5Lf'], ['Neo Beats', '6PERJZF7wohA034PAxDK0b'], ['Matuê', '5nP8x4uEFjAAmDzwOEc9b8']]",Luxúria,67,0.737,0.564,7,-8.293,1,0.316,0.301,0.0,0.0985,0.684,140.075,audio_features,185311,4,Trap Classe,"O trap nacional pra qualquer hora, daquele jeitão."
2021-03-26T12:27:38Z,Pistoleiro,1,"[['UCLÃ', '4zP89WNloauEX8v8JdZbxP'], ['Bokage', '4npdXEx9VZU1RG7vpAQEyh'], ['Sueth', '4ZyBq7WEL7d2dDH0BkVDPX'], ['Sos', '01y0qj3pkC0Fw07YLnKsvK'], ['Yunk Vino', '460m2YG30duLCuHwFdiLgX']]",Pistoleiro,42,0.742,0.513,1,-7.399,0,0.0409,0.447,0.0,0.11800000000000001,0.106,115.994,audio_features,281638,4,Trap Classe,"O trap nacional pra qualquer hora, daquele jeitão."
2021-03-26T12:27:38Z,C Walk 2,1,"[['Borges', '6jBww4kwlSrjaNYP7AQPtX'], ['BIN', '1WXbiUMl1AT9Inb619xPUg'], ['Big Rush', '5bzmuR63NqjwQBN0z8nQpF'], ['Mainstreet', '25XJqeReVV38w0tR04GGBd']]",C Walk 2,57,0.625,0.6709999999999999,1,-6.702999999999999,1,0.384,0.14,1.64e-06,0.107,0.489,98.82700000000001,audio_features,223200,4,Trap Classe,"O trap nacional pra qualquer hora, daquele jeitão."
2021-03-26T12:27:38Z,Disfarce,1,"[['Thiago', '22kCWlXVaiBMYozPgHQhZM']]",Disfarce,0,0.785,0.5529999999999999,8,-8.208,1,0.0482,0.282,0.0,0.11,0.18100000000000002,119.936,audio_features,176000,4,Trap Classe,"O trap nacional pra qualquer hora, daquele jeitão."
2021-03-26T12:27:38Z,Wave,1,"[['JayA Luuck', '4oxFgud0qa3A1tE6JFpFVp'], ['Andrade', '2R5AqLTQob9ojaJVg26TDQ'], ['Mikezin', '4LnQWC7U1XWXpcgoZN3D3Q'], ['Alva', '3h5yiq2bi79gyIVwgAWR9n'], ['Greezy', '3exY81LSlWqpL03GFPTEgB']]",Wave,51,0.805,0.359,8,-10.662,0,0.0608,0.544,4.5799999999999995e-05,0.138,0.39799999999999996,111.98200000000001,audio_features,232943,4,Trap Classe,"O trap nacional pra qualquer hora, daquele jeitão."
2021-03-26T12:27:38Z,Favorita,1,"[['Volp', '6fFgNVTo4bxMf2eswaar7Z'], ['Goude', '2k9gWCSvF2AtrdLNCOcWW2'], ['Yunk Vino', '460m2YG30duLCuHwFdiLgX'], ['Vk Mac', '62T0up856eHZQ8BE6V6fJs']]",Favorita,53,0.677,0.48,11,-8.203,1,0.0859,0.785,0.0,0.182,0.425,120.96,audio_features,213333,4,Trap Classe,"O trap nacional pra qualquer hora, daquele jeitão."
