added_at,album_name,track_number,artists,name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,playlist_name,playlist_description
2022-06-10 03:01:00+00:00,R.U.A 12 Batalha de Vida,1,"[['Fabio Brazza', '0Ludmn78UAusTsNCXgICrN'], ['Nocivo Shomon', '7fVTW9oFlXKy9tzG15tcof'], ['Jhony Mc', '4hTGLEnPwUsmgakVoSo9Ww'], ['Krawk', '7a99I3BHPvsv4aBVNqb4g4'], ['Max Bo', '5XXPhWP74GdoaxLyoljzsS'], ['Alves', '2zS9YaAB6eGPZYhHdFeMvN'], ['Sid', '05BrFNfdik79RdmOG1Ux1Q']]",R.U.A 12 Batalha de Vida,47,0.739,0.571,4,-10.343,0,0.403,0.449,0.0,0.324,0.656,160.191,618000,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Tamo Gigante,1,"[['Haikaiss', '53iGNetIf91uZx4Jb54cgb'], ['Major RD', '76hYPcWML9NGEh8LashwT5'], ['Chayco', '0titiXdcUTRXpX2CFeShdk']]",Tamo Gigante,53,0.913,0.691,10,-6.794,0,0.318,0.0992,0.0,0.102,0.754,120.06,316000,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,HERMÈS,1,"[['L7NNON', '0JjPiLQNgAFaEkwoy56B1C'], ['LeodoKick', '1WZNkLRhjvZKzZlSKL7FxX'], ['MD Chefe', '6yZKPB8eRoJesHjtxPxSLs']]",HERMÈS,59,0.822,0.454,1,-9.677,1,0.269,0.343,0.0,0.0852,0.376,105.938,171368,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Conta Bancária,1,"[['Kawe', '1TYJOhNSxMOODWiDVhuyZb'], ['DJ Gui', '3ojbgoniv6UU4eR2HM22wK'], ['Original Quality', '5ZTnWo7IY6rdIxm6aTSR84'], ['Elenko Music', '6OAAuXhPzzofYSaiIGHasL']]",Conta Bancária,52,0.863,0.586,2,-4.856,0,0.0633,0.475,0.0,0.0621,0.542,115.012,156522,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Click Click,1,"[['Costa Gold', '7q1aEytv83jXNECmyaMhgn'], ['André Nine', '5cc7XCY3YdVmFDYw9LklMq']]",Click Click,59,0.832,0.666,0,-7.045,1,0.299,0.24,0.0,0.047,0.68,114.873,210783,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Liderança,1,"[['Rock Danger', '1mjuRRMumbLmGmHmYvMDcb'], ['Major RD', '76hYPcWML9NGEh8LashwT5'], ['Borges', '6jBww4kwlSrjaNYP7AQPtX'], ['KIB7', '7lSYO6wq6ueSYYIEUbF92u']]",Liderança,63,0.73,0.813,5,-4.264,0,0.0917,0.696,3.22e-05,0.127,0.619,109.942,210445,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,LITTLE HAIR,14,"[['MC Cabelinho', '1WQBwwssN6r8DSjUlkyUGW'], ['MD Chefe', '6yZKPB8eRoJesHjtxPxSLs'], ['DomLaike', '4PzPx1yc3kGVo4EgCiLqCQ'], ['Dj Felipe Rosa', '02ESSPEzwYHnLH7SjiG8oj']]",RIO SUL,61,0.745,0.598,1,-6.906,1,0.252,0.413,0.0,0.269,0.447,120.005,140000,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Atg Tape,6,"[['MD Chefe', '6yZKPB8eRoJesHjtxPxSLs'], ['L7NNON', '0JjPiLQNgAFaEkwoy56B1C'], ['Offlei Sounds', '7Kqcr4CkcQHjHiw3aPfFkC'], ['PL Quest', '6J6U2JAv7LUF0cSQ98gpjM']]",Fragrância - Remix,64,0.74,0.623,7,-6.107,0,0.267,0.503,0.0,0.199,0.529,111.872,171428,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Nada é pra sempre,1,"[['L7NNON', '0JjPiLQNgAFaEkwoy56B1C']]",Nada é pra sempre,59,0.721,0.482,0,-10.247,1,0.0768,0.192,0.0,0.0537,0.37,95.055,229928,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Quer Voar,1,"[['Matuê', '5nP8x4uEFjAAmDzwOEc9b8']]",Quer Voar,75,0.806,0.595,8,-6.166,0,0.246,0.138,0.0,0.0882,0.677,82.492,187636,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Vida Toda - Spotify Singles,1,"[['L7NNON', '0JjPiLQNgAFaEkwoy56B1C']]",Vida Toda - Spotify Singles,67,0.755,0.476,9,-7.439,1,0.12,0.113,0.0,0.179,0.502,129.833,153245,4,AULAS,black alien é AULAS
